"variable","countryname","countrycode","year","value"
"Land area where elevation is below 5 meters (% of total land area)","Pakistan","PAK","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Palau","PLW","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Panama","PAN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Papua New Guinea","PNG","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Paraguay","PRY","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Peru","PER","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Philippines","PHL","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Poland","POL","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Portugal","PRT","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Puerto Rico","PRI","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Qatar","QAT","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Romania","ROM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Russian Federation","RUS","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Rwanda","RWA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Samoa","WSM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","San Marino","SMR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Sao Tome and Principe","STP","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Saudi Arabia","SAU","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Senegal","SEN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Serbia","SRB","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Seychelles","SYC","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Sierra Leone","SLE","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Singapore","SGP","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Sint Maarten (Dutch part)","SXM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Slovak Republic","SVK","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Slovenia","SVN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Solomon Islands","SLB","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Somalia","SOM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","South Africa","ZAF","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","South Sudan","SSD","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Spain","ESP","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Sri Lanka","LKA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","St. Kitts and Nevis","KNA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","St. Lucia","LCA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","St. Martin (French part)","MAF","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","St. Vincent and the Grenadines","VCT","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Sudan","SDN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Suriname","SUR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Swaziland","SWZ","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Sweden","SWE","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Switzerland","CHE","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Syrian Arab Republic","SYR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Taiwan, China","TWN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Tajikistan","TJK","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Tanzania","TZA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Thailand","THA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Timor-Leste","TMP","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Togo","TGO","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Tonga","TON","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Trinidad and Tobago","TTO","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Tunisia","TUN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Turkey","TUR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Turkmenistan","TKM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Turks and Caicos Islands","TCA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Tuvalu","TUV","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Uganda","UGA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Ukraine","UKR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","United Arab Emirates","ARE","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","United Kingdom","GBR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","United States","USA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Uruguay","URY","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Uzbekistan","UZB","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Vanuatu","VUT","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Venezuela, RB","VEN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Vietnam","VNM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Virgin Islands (U.S.)","VIR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","West Bank and Gaza","WBG","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Yemen, Rep.","YEM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Zambia","ZMB","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Zimbabwe","ZWE","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Afghanistan","AFG","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Albania","ALB","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Algeria","DZA","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","American Samoa","ASM","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Andorra","ADO","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Angola","AGO","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Antigua and Barbuda","ATG","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Argentina","ARG","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Armenia","ARM","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Aruba","ABW","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Australia","AUS","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Austria","AUT","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Azerbaijan","AZE","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bahamas, The","BHS","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bahrain","BHR","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bangladesh","BGD","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Barbados","BRB","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Belarus","BLR","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Belgium","BEL","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Belize","BLZ","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Benin","BEN","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bermuda","BMU","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bhutan","BTN","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bolivia","BOL","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bosnia and Herzegovina","BIH","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Botswana","BWA","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Brazil","BRA","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Brunei Darussalam","BRN","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bulgaria","BGR","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Burkina Faso","BFA","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Burundi","BDI","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cabo Verde","CPV","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cambodia","KHM","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cameroon","CMR","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Canada","CAN","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cayman Islands","CYM","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Central African Republic","CAF","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Chad","TCD","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Channel Islands","CHI","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Chile","CHL","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","China","CHN","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Colombia","COL","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Comoros","COM","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Congo, Dem. Rep.","ZAR","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Congo, Rep.","COG","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Costa Rica","CRI","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cote d'Ivoire","CIV","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Croatia","HRV","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cuba","CUB","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Curacao","CUW","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cyprus","CYP","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Czech Republic","CZE","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Denmark","DNK","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Djibouti","DJI","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Dominica","DMA","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Dominican Republic","DOM","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Ecuador","ECU","yr2015",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Egypt, Arab Rep.","EGY","yr2015",".."
